Reference, Quantity, Value,Footprint, manf#
B1 ,1,JST 2-PH,JST\_S2B-PH-K-S(LF)(SN):JST\_S2B-PH-K-S(LF)(SN),B2B-PH-K-S(LF)(SN)
C1 C3 C6 C8 C10 C11 C19 C20 C21 C22 ,10,10uF,Capacitor\_SMD:C\_1206\_3216Metric\_Pad1.33x1.80mm\_HandSolder,CL31B106MOHNNNE
C15 C16 ,2,4.7uF,Capacitor\_SMD:C\_1206\_3216Metric\_Pad1.33x1.80mm\_HandSolder,CL31B475KAHNFNE
C17 C18 ,2,27pF,Capacitor\_SMD:C\_1206\_3216Metric\_Pad1.33x1.80mm\_HandSolder,C1206C270K5GAC7800
C2 C7 C9 C12 C13 C14 ,6,0.1uF,Capacitor\_SMD:C\_1206\_3216Metric\_Pad1.33x1.80mm\_HandSolder,CL31B104KBCNFNC
C4 ,1,2.2uF,Capacitor\_SMD:C\_1206\_3216Metric\_Pad1.33x1.80mm\_HandSolder,CL31B225KOHNNNE
C5 C23 ,2,100uF,Capacitor\_SMD:C\_1206\_3216Metric\_Pad1.33x1.80mm\_HandSolder,GRM31CR60G107ME39L
D1 D2 D6 ,3,Red,LED\_SMD:LED\_1206\_3216Metric\_Pad1.42x1.75mm\_HandSolder,156120RS75300
D3 D5 ,2,Green,LED\_SMD:LED\_1206\_3216Metric\_Pad1.42x1.75mm\_HandSolder,150120GS75000
D4 ,1,Orange,LED\_SMD:LED\_1206\_3216Metric\_Pad1.42x1.75mm\_HandSolder,150120AS75000
J1 ,1,USB4125-GF-A\_REVA2,USB4125-GF-A\_REVA2:GCT\_USB4125-GF-A\_REVA2,USB4125-GF-A
J2 ,1,PREC002SAAN-RC,PREC002SAAN-RC:PREC002SAAN-RC,PREC002SAAN-RC
J3 ,1,SS-53000-001,SS-53000-001:STEWART\_SS-53000-001,SS-53000-001
J4 J10 ,2,FFC3B07-20-T,FFC3B07-20-T:GCT\_FFC3B07-20-T,FFC3B07-20-T
J5 ,1,Micro\_SD\_Card\_Det,CM4IO:SDCARD\_MOLEX\_503398-1892,5033981892
J6 ,1,ARJM11D7-502-AB-EW2,ARJM11D7-502-AB-EW2:ARJM11D7502ABEW2,ARJM11D7-502-AB-EW2
J7 J8 J9 ,3,SS-52100-001,SS-52100-001:SS-52100-001,SS-52100-001
L1 ,1,6.8uH,NRS5030T6R8MMGJ:NRS5030T6R8MMGJ,NRS5030T6R8MMGJ
Module1 ,1,ComputeModule4-CM4,CM4IO:Raspberry-Pi-4-Compute-Module,CM4104000
Q1 ,1,MMUN2133LT1G,MMUN2133LT1G:SOT95P240X111-3N,MMUN2133LT1G
R1 R7 ,2,1.87M,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-071M87L
R10 ,1,15K,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-0715KL
R13 ,1,270K,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-07270KL
R18 R24 ,2,12K 1\%,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-0712KL
R2 ,1,340K,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,ERJ-8ENF3403V
R20 R21 ,2,470R,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-07470RL
R22 R23 ,2,36K 1\%,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-0736KL
R25 ,1,15K 1\%,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-0715KL
R3 R4 ,2,5.1K,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RMCF1206FT5K10
R5 R8 ,2,200K,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-07200KL
R6 R12 R14 R15 R16 R17 R19 ,7,1K,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RC1206FR-071KL
R9 R11 ,2,100K,Resistor\_SMD:R\_1206\_3216Metric\_Pad1.30x1.75mm\_HandSolder,RMCF1206FT100K
U1 ,1,TPS61090RSAR,TPS61090RSAR:QFN65P400X400X100-17N,TPS61090RSAR
U2 ,1,MCP73871-2CCI\_ML,digikey-footprints:QFN-20-1EP\_4x4mm,MCP73871-2CCI/ML
U3 ,1,74LVC1G07,Package\_TO\_SOT\_SMD:SOT-353\_SC-70-5,74LVC1G07SE-7
U4 ,1,RT9742VGJ5,Package\_TO\_SOT\_SMD:SOT-23-5,RT9742VGJ5
U5 ,1,RT9742ENGJ5,Package\_TO\_SOT\_SMD:SOT-23-5,RT9742ENGJ5
U6 U7 ,2,TPD4EUSB30,Package\_SON:USON-10\_2.5x1.0mm\_P0.5mm,TPD4EUSB30DQAR
U8 ,1,USB2504A-JT,USB2504A-JT:USB2504A-JT,USB2504A-JT
U9 ,1,AP22653W6-7,AP22653W6-7:SOT95P280X145-6N,AP22653W6-7
Y1 ,1,24MHz,Crystal:Crystal\_SMD\_HC49-SD,FC4SDCBMF24.0-T1
